time, ch1, ch2, ch3, ch4, ch5, ch6, ch7
2.373650054931640625e+02, 3.696000061035156250e+02, 3.830273437500000000e+01, 2.166299591064453125e+02, 2.880527305603027344e+01, 1.485844268798828125e+02, 2.767262878417968750e+02, 2.007901153564453125e+02, 0.000000000000000000e+00
2.373683319091796875e+02, 3.672000122070312500e+02, 4.458677673339843750e+01, 2.139370422363281250e+02, 2.490455818176269531e+01, 1.494867706298828125e+02, 2.770257568359375000e+02, 2.022863159179687500e+02, 0.000000000000000000e+00
2.373716735839843750e+02, 3.572999877929687500e+02, 4.877613830566406250e+01, 2.166299591064453125e+02, 2.910532951354980469e+01, 1.527953186035156250e+02, 2.836144714355468750e+02, 1.968999938964843750e+02, 0.000000000000000000e+00
2.373750000000000000e+02, 3.617999877929687500e+02, 4.219285583496093750e+01, 2.139370422363281250e+02, 3.150576782226562500e+01, 1.585101165771484375e+02, 2.851119079589843750e+02, 2.016878356933593750e+02, 0.000000000000000000e+00
2.373783264160156250e+02, 3.537000122070312500e+02, 3.261717224121093750e+01, 2.097480621337890625e+02, 2.820516395568847656e+01, 1.570062255859375000e+02, 2.779242248535156250e+02, 1.909151916503906250e+02, 0.000000000000000000e+00
2.373816680908203125e+02, 3.473999938964843750e+02, 1.974984741210937500e+01, 1.974803466796875000e+02, 2.370433998107910156e+01, 1.509906616210937500e+02, 2.704370422363281250e+02, 1.768509063720703125e+02, 0.000000000000000000e+00
2.373849945068359375e+02, 3.666000061035156250e+02, 3.411337280273437500e+01, 2.109449157714843750e+02, 2.940538215637207031e+01, 1.512914276123046875e+02, 2.719344787597656250e+02, 1.951045532226562500e+02, 0.000000000000000000e+00
2.373883361816406250e+02, 3.758999938964843750e+02, 3.770425415039062500e+01, 2.184252319335937500e+02, 3.270598983764648438e+01, 1.482836456298828125e+02, 2.776247253417968750e+02, 2.067749176025390625e+02, 0.000000000000000000e+00
2.373916625976562500e+02, 3.812999877929687500e+02, 3.740501403808593750e+01, 2.229134216308593750e+02, 3.780691909790039062e+01, 1.503890991210937500e+02, 2.839139709472656250e+02, 2.064756774902343750e+02, 0.000000000000000000e+00
2.373950042724609375e+02, 3.713999938964843750e+02, 3.261717224121093750e+01, 2.163307342529296875e+02, 3.120571327209472656e+01, 1.395610809326171875e+02, 2.743303527832031250e+02, 1.963015136718750000e+02, 0.000000000000000000e+00
2.373983306884765625e+02, 3.561000061035156250e+02, 2.723085021972656250e+01, 2.112441253662109375e+02, 2.610478019714355469e+01, 1.383579711914062500e+02, 2.677416687011718750e+02, 1.885212707519531250e+02, 0.000000000000000000e+00
2.374016723632812500e+02, 3.810000000000000000e+02, 5.476094055175781250e+01, 2.262047576904296875e+02, 3.360615158081054688e+01, 1.485844268798828125e+02, 2.881067810058593750e+02, 1.992939147949218750e+02, 0.000000000000000000e+00
2.374049987792968750e+02, 3.780000000000000000e+02, 5.176853942871093750e+01, 2.223149871826171875e+02, 3.360615158081054688e+01, 1.542992095947265625e+02, 2.860103759765625000e+02, 2.082711181640625000e+02, 0.000000000000000000e+00
2.374083404541015625e+02, 3.887999877929687500e+02, 5.715486145019531250e+01, 2.271024017333984375e+02, 3.660670089721679688e+01, 1.579085540771484375e+02, 2.991878356933593750e+02, 2.067749176025390625e+02, 0.000000000000000000e+00
2.374116668701171875e+02, 3.842999877929687500e+02, 4.668145751953125000e+01, 2.247086944580078125e+02, 3.600659179687500000e+01, 1.609163360595703125e+02, 2.955939636230468750e+02, 2.031840362548828125e+02, 0.000000000000000000e+00
2.374149932861328125e+02, 3.807000122070312500e+02, 3.770425415039062500e+01, 2.226142120361328125e+02, 3.420626449584960938e+01, 1.612171173095703125e+02, 2.964924316406250000e+02, 2.148544006347656250e+02, 0.000000000000000000e+00
2.374183349609375000e+02, 3.732000122070312500e+02, 3.261717224121093750e+01, 2.157323150634765625e+02, 3.120571327209472656e+01, 1.564046630859375000e+02, 2.934975585937500000e+02, 2.151536407470703125e+02, 0.000000000000000000e+00
2.374216613769531250e+02, 3.717000122070312500e+02, 4.967385864257812500e+01, 2.217165679931640625e+02, 3.120571327209472656e+01, 1.609163360595703125e+02, 2.943960266113281250e+02, 2.142559204101562500e+02, 0.000000000000000000e+00
2.374250030517578125e+02, 3.840000000000000000e+02, 5.057157897949218750e+01, 2.208189239501953125e+02, 3.600659179687500000e+01, 1.539984436035156250e+02, 2.955939636230468750e+02, 2.190437622070312500e+02, 0.000000000000000000e+00
2.374283294677734375e+02, 3.801000061035156250e+02, 4.039741516113281250e+01, 2.184252319335937500e+02, 3.330609512329101562e+01, 1.524945526123046875e+02, 2.896042175292968750e+02, 2.136574401855468750e+02, 0.000000000000000000e+00
2.374316711425781250e+02, 3.677999877929687500e+02, 3.082173156738281250e+01, 2.139370422363281250e+02, 3.360615158081054688e+01, 1.585101165771484375e+02, 2.967919006347656250e+02, 2.019870758056640625e+02, 0.000000000000000000e+00
2.374349975585937500e+02, 3.765000000000000000e+02, 4.458677673339843750e+01, 2.232126312255859375e+02, 4.050741577148437500e+01, 1.506898803710937500e+02, 2.964924316406250000e+02, 2.010893554687500000e+02, 0.000000000000000000e+00
2.374383392333984375e+02, 3.782999877929687500e+02, 5.176853942871093750e+01, 2.262047576904296875e+02, 4.020736312866210938e+01, 1.470805358886718750e+02, 2.854114074707031250e+02, 2.073733978271484375e+02, 0.000000000000000000e+00
2.374416656494140625e+02, 3.758999938964843750e+02, 4.967385864257812500e+01, 2.199212951660156250e+02, 3.660670089721679688e+01, 1.419673156738281250e+02, 2.782237243652343750e+02, 2.016878356933593750e+02, 0.000000000000000000e+00
2.374450073242187500e+02, 3.735000000000000000e+02, 4.907537841796875000e+01, 2.238110504150390625e+02, 3.690675735473632812e+01, 1.434712066650390625e+02, 2.824165344238281250e+02, 2.016878356933593750e+02, 0.000000000000000000e+00
2.374483337402343750e+02, 3.737999877929687500e+02, 5.087081909179687500e+01, 2.297953033447265625e+02, 4.230774307250976562e+01, 1.494867706298828125e+02, 2.845129394531250000e+02, 2.055779571533203125e+02, 0.000000000000000000e+00
2.374516601562500000e+02, 3.773999938964843750e+02, 5.117005920410156250e+01, 2.274016113281250000e+02, 4.140758132934570312e+01, 1.458774261474609375e+02, 2.887057800292968750e+02, 2.094680786132812500e+02, 0.000000000000000000e+00
2.374550018310546875e+02, 3.728999938964843750e+02, 4.009817504882812500e+01, 2.175276031494140625e+02, 3.210587692260742188e+01, 1.341470794677734375e+02, 2.728329162597656250e+02, 1.998923950195312500e+02, 0.000000000000000000e+00
2.374583282470703125e+02, 3.627000122070312500e+02, 2.663236999511718750e+01, 2.115433502197265625e+02, 2.910532951354980469e+01, 1.332447357177734375e+02, 2.719344787597656250e+02, 1.957030334472656250e+02, 0.000000000000000000e+00
2.374616699218750000e+02, 3.662999877929687500e+02, 3.201869201660156250e+01, 2.196220855712890625e+02, 3.750686645507812500e+01, 1.446743164062500000e+02, 2.863098449707031250e+02, 1.966007537841796875e+02, 0.000000000000000000e+00
