time, light_amp
207540, 2.00
210040, 2.00
212540, 2.00
215048, 2.00
217548, 2.00
220052, 2.00
222552, 2.00
225056, 2.00
227556, 2.00
230056, 2.00
232556, 2.00
235060, 3.00
237564, 2.00
240068, 2.00
242568, 2.00
245068, 2.00
247572, 2.00
250072, 2.00
252572, 3.00
255072, 2.00
257572, 3.00
260072, 2.00
262572, 2.00
265072, 2.00
267572, 2.00
270072, 2.00
272572, 2.00
275072, 2.00
277572, 2.00
280072, 2.00
282576, 2.00
285080, 3.00
287584, 2.00
290084, 2.00
292584, 2.00
295084, 1.00
297588, 2.00
300088, 2.00
302588, 2.00
305088, 2.00
307588, 2.00
310088, 2.00
312588, 2.00
315092, 2.00
317592, 2.00
320092, 2.00
322596, 2.00
325096, 3.00
327596, 2.00
330096, 2.00
332596, 2.00
335096, 2.00
337596, 2.00
340096, 2.00
342600, 2.00
345100, 2.00
347604, 2.00
350104, 3.00
352604, 2.00
355104, 1.00
357604, 2.00
360108, 2.00
362608, 1.00
365108, 2.00
367612, 2.00
370116, 2.00
372620, 2.00
375120, 3.00
377620, 2.00
380120, 1.00
382620, 2.00
385120, 2.00
387624, 2.00
390124, 2.00
392628, 2.00
395132, 1.00
397632, 3.00
400132, 2.00
402632, 1.00
405132, 1.00
407632, 2.00
410132, 2.00
412632, 2.00
415132, 2.00
417632, 2.00
420132, 2.00
422632, 3.00
425136, 2.00
427640, 1.00
430140, 2.00
432644, 2.00
435144, 2.00
437644, 2.00
440148, 3.00
442648, 2.00
445148, 3.00
447648, 3.00
450148, 1.00
452648, 2.00
455152, 3.00
457652, 2.00
460152, 2.00
462652, 3.00
465152, 2.00
467652, 2.00
470152, 2.00
472652, 3.00
475152, 3.00
477652, 3.00
480152, 3.00
482656, 2.00
485160, 2.00
487660, 2.00
490160, 2.00
492660, 2.00
495164, 2.00
497664, 2.00
500164, 3.00
502664, 2.00
505164, 2.00
507664, 2.00
510164, 2.00
512664, 3.00
515164, 2.00
517664, 2.00
520164, 2.00
522664, 2.00
525164, 2.00
527664, 2.00
530164, 2.00
532664, 2.00
535164, 3.00
537664, 3.00
540168, 2.00
542672, 2.00
545172, 2.00
547676, 2.00
550176, 2.00
552676, 2.00
555176, 2.00
557676, 1.00
560176, 3.00
562680, 2.00
565180, 3.00
567684, 2.00
570188, 2.00
572688, 2.00
575188, 2.00
577688, 3.00
580188, 2.00
582688, 3.00
585188, 2.00
587688, 2.00
590188, 2.00
592692, 2.00
595192, 2.00
597692, 2.00
600192, 2.00
602692, 2.00
605192, 2.00
607692, 2.00
610192, 3.00
612692, 2.00
615192, 2.00
617692, 2.00
620192, 2.00
622692, 2.00
625192, 2.00
627692, 2.00
630196, 2.00
632696, 2.00
635196, 2.00
637696, 2.00
640196, 3.00
642696, 2.00
645196, 2.00
647696, 2.00
650196, 2.00
652696, 2.00
655196, 2.00
657696, 2.00
660200, 2.00
662700, 2.00
665204, 3.00
667704, 2.00
670208, 1.00
672708, 2.00
675208, 2.00
677708, 2.00
680208, 2.00
682708, 2.00
685208, 2.00
687708, 2.00
690208, 2.00
692708, 2.00
695212, 1.00
697712, 3.00
700216, 2.00
702716, 2.00
705216, 2.00
707716, 2.00
710216, 2.00
712716, 2.00
715216, 2.00
717716, 2.00
720216, 2.00
722720, 3.00
725220, 2.00
727720, 1.00
730220, 2.00
732720, 2.00
735220, 2.00
737720, 2.00
740220, 2.00
742720, 2.00
745220, 2.00
747720, 2.00
750220, 2.00
752720, 2.00
755220, 2.00
757724, 2.00
760224, 2.00
762724, 2.00
765224, 2.00
767724, 2.00
770224, 3.00
772728, 2.00
775228, 2.00
777728, 2.00
780228, 3.00
782728, 2.00
785228, 2.00
787728, 2.00
790228, 2.00
792728, 1.00
795228, 2.00
797728, 2.00
800228, 2.00
802728, 2.00
805228, 2.00
807732, 2.00
810232, 2.00
812732, 3.00
815232, 3.00
817732, 1.00
820232, 2.00
822732, 2.00
825232, 2.00
827732, 2.00
830236, 2.00
832736, 2.00
835236, 2.00
837736, 2.00
840236, 2.00
842736, 1.00
845240, 2.00
847744, 1.00
850244, 2.00
852744, 2.00
855244, 2.00
857748, 2.00
860248, 2.00
862752, 3.00
865252, 2.00
867752, 1.00
870252, 3.00
872752, 2.00
875252, 2.00
877752, 2.00
880252, 2.00
882752, 2.00
885252, 2.00
887752, 2.00
890252, 2.00
892752, 2.00
895252, 3.00
897752, 2.00
900252, 2.00
902752, 3.00
905252, 2.00
907752, 1.00
910252, 2.00
912752, 2.00
915252, 2.00
917752, 2.00
920252, 2.00
922752, 2.00
925252, 2.00
927752, 2.00
930252, 2.00
932752, 2.00
935252, 3.00
937752, 2.00
940252, 1.00
942752, 3.00
945252, 2.00
947752, 1.00
950252, 2.00
952752, 2.00
955252, 2.00
957752, 2.00
960252, 2.00
962752, 2.00
965252, 2.00
967752, 2.00
970252, 2.00
972752, 2.00
975252, 2.00
977752, 3.00
980252, 1.00
982752, 2.00
985252, 2.00
987752, 2.00
990252, 2.00
992752, 2.00
995252, 2.00
997752, 2.00
1000252, 2.00
1002752, 2.00
1005252, 2.00
1007752, 1.00
1010252, 3.00
1012752, 2.00
1015252, 1.00
1017752, 3.00
1020252, 2.00
1022752, 1.00
1025252, 2.00
1027752, 3.00
1030252, 2.00
1032752, 2.00
1035252, 2.00
1037752, 2.00
1040252, 2.00
1042752, 2.00
1045252, 2.00
1047752, 2.00
1050252, 3.00
1052752, 2.00
1055252, 1.00
1057752, 2.00
1060252, 2.00
1062752, 1.00
1065252, 2.00
1067752, 2.00
1070256, 2.00
1072756, 2.00
1075256, 3.00
1077756, 2.00
1080256, 2.00
1082756, 3.00
1085256, 3.00
1087760, 1.00
1090260, 2.00
1092760, 2.00
1095260, 2.00
1097760, 2.00
1100260, 2.00
1102760, 2.00
1105260, 2.00
1107760, 2.00
1110260, 2.00
1112760, 2.00
1115260, 3.00
1117760, 2.00
1120264, 1.00
1122764, 2.00
1125264, 1.00
1127764, 2.00
1130264, 2.00
1132764, 2.00
1135264, 2.00
1137764, 2.00
1140264, 2.00
1142764, 2.00
1145264, 2.00
1147764, 3.00
1150264, 2.00
1152764, 1.00
1155264, 2.00
1157764, 1.00
1160264, 2.00
1162764, 2.00
1165264, 2.00
1167764, 2.00
1170264, 2.00
1172764, 2.00
1175264, 2.00
1177768, 2.00
1180268, 2.00
1182768, 2.00
1185268, 1.00
1187768, 2.00
1190268, 2.00
1192768, 2.00
1195268, 3.00
1197768, 2.00
1200268, 2.00
1202768, 2.00
1205268, 2.00
1207768, 3.00
1210268, 2.00
1212768, 2.00
1215268, 3.00
1217768, 2.00
1220268, 1.00
1222772, 2.00
1225272, 2.00
1227772, 2.00
1230272, 2.00
1232772, 2.00
1235272, 2.00
1237772, 2.00
1240272, 2.00
1242772, 2.00
1245272, 2.00
1247772, 3.00
1250272, 2.00
1252772, 2.00
1255272, 3.00
1257776, 2.00
1260276, 2.00
1262776, 2.00
1265276, 2.00
1267780, 2.00
1270280, 2.00
1272780, 3.00
1275280, 1.00
1277780, 3.00
1280280, 3.00
1282780, 2.00
1285280, 2.00
1287780, 2.00
1290280, 2.00
1292780, 2.00
1295280, 2.00
1297780, 2.00
1300280, 2.00
1302784, 2.00
1305284, 3.00
1307784, 1.00
1310284, 2.00
1312784, 3.00
1315284, 2.00
1317784, 2.00
1320284, 2.00
1322784, 2.00
1325284, 2.00
1327784, 2.00
1330288, 3.00
1332788, 2.00
1335288, 2.00
1337788, 3.00
1340288, 2.00
1342788, 2.00
1345288, 3.00
1347788, 2.00
1350288, 1.00
1352788, 2.00
1355288, 1.00
1357788, 2.00
1360288, 2.00
1362788, 2.00
1365288, 2.00
1367788, 1.00
1370292, 3.00
1372792, 2.00
1375296, 2.00
1377796, 2.00
1380296, 2.00
1382796, 2.00
1385296, 2.00
1387800, 2.00
1390300, 2.00
1392804, 2.00
1395304, 3.00
1397804, 2.00
1400304, 2.00
1402804, 2.00
1405304, 2.00
1407804, 2.00
1410304, 2.00
1412804, 2.00
1415304, 2.00
1417804, 2.00
1420304, 2.00
1422804, 2.00
1425304, 2.00
1427804, 3.00
1430304, 2.00
1432804, 2.00
1435304, 3.00
1437804, 2.00
1440304, 1.00
1442804, 2.00
1445304, 2.00
1447804, 2.00
1450304, 2.00
1452804, 2.00
1455304, 2.00
1457804, 2.00
1460304, 3.00
1462804, 2.00
1465304, 2.00
1467804, 3.00
1470304, 2.00
1472804, 1.00
1475304, 3.00
1477804, 2.00
1480304, 2.00
1482808, 2.00
1485308, 2.00
1487808, 2.00
1490308, 2.00
1492808, 2.00
1495308, 2.00
1497808, 2.00
1500308, 3.00
1502808, 2.00
1505308, 2.00
1507808, 1.00
1510312, 2.00
1512816, 2.00
1515316, 2.00
1517816, 2.00
1520316, 2.00
1522820, 2.00
1525320, 3.00
1527820, 3.00
1530320, 3.00
1532820, 4.00
1535320, 4.00
1537820, 4.00
1540320, 5.00
1542820, 5.00
1545320, 4.00
1547820, 5.00
1550320, 6.00
1552820, 6.00
1555320, 5.00
1557824, 7.00
1560324, 6.00
1562824, 6.00
1565324, 6.00
1567828, 6.00
1570328, 6.00
1572828, 6.00
1575328, 6.00
1577828, 6.00
1580328, 5.00
1582828, 7.00
1585332, 6.00
1587832, 6.00
1590332, 6.00
1592832, 7.00
1595332, 6.00
1597832, 6.00
1600332, 5.00
1602832, 6.00
1605332, 6.00
1607832, 7.00
1610332, 6.00
1612832, 6.00
1615332, 7.00
1617832, 5.00
1620332, 5.00
1622832, 7.00
1625332, 6.00
1627832, 5.00
1630332, 7.00
1632832, 6.00
1635332, 6.00
1637832, 6.00
1640332, 6.00
1642832, 6.00
1645332, 6.00
1647832, 6.00
1650332, 6.00
1652832, 6.00
1655332, 7.00
1657832, 6.00
1660332, 5.00
1662832, 6.00
1665336, 6.00
1667836, 6.00
1670336, 6.00
1672836, 6.00
1675336, 6.00
1677836, 6.00
1680336, 6.00
1682836, 6.00
1685336, 6.00
1687836, 7.00
1690336, 6.00
1692836, 5.00
1695336, 6.00
1697836, 6.00
1700336, 6.00
1702836, 6.00
1705336, 6.00
1707836, 6.00
1710336, 6.00
1712836, 6.00
1715336, 7.00
1717836, 6.00
1720336, 6.00
1722836, 7.00
1725336, 6.00
1727836, 5.00
1730336, 6.00
1732836, 7.00
1735336, 5.00
1737840, 6.00
1740340, 6.00
1742840, 6.00
1745340, 6.00
1747840, 6.00
1750340, 5.00
1752840, 6.00
1755344, 7.00
1757844, 6.00
1760344, 5.00
1762844, 6.00
1765344, 7.00
1767844, 6.00
1770344, 6.00
1772848, 6.00
1775348, 6.00
1777852, 7.00
1780352, 6.00
1782852, 5.00
1785352, 6.00
1787852, 6.00
1790352, 6.00
1792856, 6.00
1795356, 6.00
1797856, 6.00
1800360, 6.00
1802860, 7.00
1805360, 6.00
1807860, 5.00
1810360, 7.00
1812860, 6.00
1815360, 5.00
1817860, 6.00
1820360, 6.00
1822864, 6.00
1825364, 6.00
1827864, 7.00
1830364, 6.00
1832864, 5.00
1835364, 7.00
1837864, 6.00
1840364, 5.00
1842864, 6.00
1845364, 6.00
1847864, 5.00
1850364, 6.00
1852864, 6.00
1855364, 6.00
1857864, 6.00
1860364, 6.00
1862864, 6.00
1865364, 6.00
1867864, 7.00
1870364, 6.00
1872864, 6.00
1875364, 5.00
1877864, 7.00
1880364, 5.00
1882864, 6.00
1885364, 6.00
1887864, 6.00
1890364, 6.00
1892864, 5.00
1895364, 6.00
1897864, 6.00
1900364, 6.00
1902868, 7.00
1905368, 5.00
1907868, 6.00
1910368, 7.00
1912868, 6.00
1915368, 6.00
1917868, 6.00
1920368, 6.00
1922868, 6.00
1925368, 6.00
1927868, 6.00
1930368, 6.00
1932868, 6.00
1935368, 7.00
1937868, 6.00
1940368, 5.00
1942868, 7.00
1945368, 6.00
1947868, 5.00
1950368, 7.00
1952868, 5.00
1955368, 5.00
1957868, 6.00
1960368, 6.00
1962868, 6.00
1965368, 6.00
1967868, 6.00
1970368, 6.00
1972868, 6.00
1975368, 5.00
1977868, 2.00
1980368, 0.00
1982868, 0.00
1985368, 0.00
1987868, 0.00
1990368, 0.00
1992868, 0.00
1995368, 0.00
1997868, 0.00
2000368, 0.00
2002868, 0.00
2005368, 0.00
2007868, 0.00
2010368, 0.00
2012868, 0.00
2015368, 0.00
2017868, 0.00
2020368, 0.00
2022868, 0.00
2025368, 1.00
2027868, 11.00
2030368, 17.00
2032868, 22.00
2035368, 26.00
2037868, 27.00
2040372, 30.00
2042876, 31.00
2045376, 32.00
2047876, 33.00
2050376, 34.00
2052876, 34.00
2055380, 34.00
2057880, 34.00
2060380, 34.00
2062880, 33.00
2065380, 35.00
2067880, 35.00
2070380, 34.00
2072880, 34.00
2075380, 26.00
2077880, 14.00
2080384, 7.00
2082884, 3.00
2085384, 2.00
2087884, 0.00
2090384, 0.00
2092884, 0.00
2095384, 0.00
2097884, 0.00
2100384, 0.00
2102884, 0.00
2105384, 0.00
2107884, 0.00
2110384, 8.00
2112884, 16.00
2115384, 22.00
2117884, 25.00
2120384, 27.00
2122888, 29.00
2125392, 31.00
2127892, 32.00
2130392, 33.00
2132896, 33.00
2135396, 33.00
2137896, 34.00
2140400, 34.00
2142900, 34.00
2145400, 35.00
2147904, 34.00
2150408, 34.00
2152908, 33.00
2155408, 35.00
2157908, 30.00
2160408, 16.00
2162908, 9.00
2165408, 4.00
2167908, 2.00
2170408, 0.00
2172908, 0.00
2175408, 0.00
2177908, 0.00
2180408, 0.00
2182908, 0.00
2185408, 0.00
2187908, 0.00
2190412, 0.00
2192912, 5.00
2195412, 14.00
2197912, 20.00
2200416, 24.00
2202916, 26.00
2205416, 29.00
2207916, 30.00
2210416, 32.00
2212916, 32.00
2215416, 33.00
2217916, 33.00
2220420, 34.00
2222924, 34.00
2225424, 34.00
2227924, 34.00
2230424, 35.00
2232924, 34.00
2235424, 34.00
2237924, 35.00
2240428, 34.00
2242928, 20.00
2245428, 11.00
2247928, 6.00
2250428, 2.00
2252932, 1.00
2255432, 0.00
2257936, 0.00
2260436, 0.00
2262936, 0.00
2265436, 0.00
2267936, 0.00
2270436, 0.00
2272936, 0.00
2275436, 1.00
2277936, 12.00
2280440, 19.00
2282944, 22.00
2285444, 27.00
2287944, 27.00
2290444, 29.00
2292944, 32.00
2295444, 32.00
2297944, 33.00
2300448, 33.00
2302948, 34.00
2305448, 34.00
2307948, 34.00
2310448, 35.00
2312948, 34.00
2315448, 34.00
2317948, 35.00
2320448, 34.00
2322948, 35.00
2325452, 24.00
2327956, 13.00
2330456, 7.00
2332960, 3.00
2335460, 1.00
2337964, 0.00
2340464, 0.00
2342964, 0.00
2345464, 0.00
2347964, 0.00
2350464, 0.00
2352964, 0.00
2355464, 0.00
2357964, 0.00
2360468, 10.00
2362968, 17.00
2365468, 22.00
2367972, 25.00
2370472, 28.00
2372972, 29.00
2375472, 31.00
2377972, 32.00
2380476, 32.00
2382976, 34.00
2385476, 32.00
2387976, 34.00
2390476, 34.00
2392976, 34.00
2395476, 33.00
2397976, 35.00
2400476, 35.00
2402976, 35.00
2405476, 35.00
2407980, 28.00
2410480, 15.00
2412984, 7.00
2415484, 4.00
2417988, 1.00
2420488, 0.00
2422988, 0.00
2425488, 0.00
2427992, 0.00
2430496, 0.00
2433000, 0.00
2435500, 0.00
2438000, 0.00
2440500, 0.00
2443000, 7.00
2445500, 15.00
2448004, 20.00
2450504, 25.00
2453004, 26.00
2455504, 29.00
2458004, 30.00
2460504, 32.00
2463004, 33.00
2465504, 33.00
2468008, 33.00
2470508, 34.00
2473012, 34.00
2475512, 34.00
2478016, 34.00
2480516, 35.00
2483016, 34.00
2485516, 35.00
2488020, 35.00
2490520, 33.00
2493020, 18.00
2495520, 10.00
2498020, 5.00
2500520, 2.00
2503020, 0.00
2505520, 0.00
2508020, 0.00
2510520, 0.00
2513020, 0.00
2515520, 0.00
2518024, 0.00
2520528, 0.00
2523028, 0.00
2525528, 3.00
2528028, 13.00
2530528, 19.00
2533028, 24.00
2535528, 26.00
2538028, 28.00
2540528, 29.00
2543028, 31.00
2545528, 33.00
2548028, 33.00
2550532, 33.00
2553032, 34.00
2555532, 34.00
2558032, 34.00
2560532, 35.00
2563032, 35.00
2565532, 34.00
2568032, 35.00
2570532, 34.00
2573032, 34.00
2575536, 21.00
2578040, 12.00
2580540, 6.00
2583040, 3.00
2585540, 1.00
2588040, 0.00
2590540, 0.00
2593044, 0.00
2595544, 0.00
2598048, 0.00
2600548, 0.00
2603052, 0.00
2605552, 0.00
2608052, 0.00
2610552, 11.00
2613052, 17.00
2615552, 23.00
2618052, 26.00
2620552, 27.00
2623052, 29.00
2625552, 31.00
2628056, 32.00
2630556, 32.00
2633056, 34.00
2635556, 34.00
2638056, 34.00
2640560, 33.00
2643060, 35.00
2645560, 35.00
2648060, 35.00
2650560, 35.00
2653060, 35.00
2655560, 34.00
2658060, 26.00
2660560, 14.00
2663064, 7.00
2665564, 4.00
2668064, 2.00
2670564, 0.00
2673064, 0.00
2675564, 0.00
2678064, 0.00
2680564, 0.00
2683064, 0.00
2685564, 0.00
2688068, 0.00
2690568, 0.00
2693068, 8.00
2695568, 16.00
2698072, 21.00
2700572, 25.00
2703072, 26.00
2705572, 29.00
2708076, 31.00
2710576, 32.00
2713080, 33.00
2715580, 34.00
2718080, 34.00
2720580, 34.00
2723080, 34.00
2725584, 34.00
2728084, 34.00
2730584, 34.00
2733084, 35.00
2735584, 34.00
2738084, 35.00
2740584, 31.00
2743084, 17.00
2745584, 9.00
2748084, 4.00
2750584, 2.00
2753084, 0.00
2755592, 1.00
2758092, 0.00
2760592, 0.00
2763096, 0.00
2765596, 0.00
2768096, 0.00
2770596, 0.00
2773096, 0.00
2775596, 5.00
2778096, 14.00
2780600, 20.00
2783100, 24.00
2785600, 26.00
2788100, 28.00
2790600, 30.00
2793104, 31.00
2795604, 33.00
2798104, 33.00
2800604, 32.00
2803104, 34.00
2805608, 35.00
2808108, 34.00
2810608, 34.00
2813108, 35.00
2815608, 35.00
2818108, 35.00
2820608, 35.00
2823108, 34.00
2825608, 20.00
2828108, 10.00
2830608, 6.00
2833108, 2.00
2835612, 1.00
2838112, 1.00
2840612, 0.00
2843112, 0.00
2845612, 0.00
2848112, 0.00
2850612, 0.00
2853112, 0.00
2855612, 0.00
2858116, 0.00
2860616, 12.00
2863116, 19.00
2865616, 23.00
2868116, 25.00
2870616, 29.00
2873116, 30.00
2875616, 31.00
2878116, 31.00
2880616, 33.00
2883116, 34.00
2885616, 33.00
2888116, 34.00
2890616, 34.00
2893116, 34.00
2895616, 35.00
2898116, 34.00
2900616, 34.00
2903116, 35.00
2905620, 35.00
2908120, 24.00
2910624, 13.00
2913124, 7.00
2915628, 2.00
2918128, 1.00
2920628, 1.00
2923128, 0.00
2925628, 0.00
2928128, 0.00
2930628, 0.00
2933128, 0.00
2935628, 0.00
2938128, 0.00
2940628, 0.00
2943128, 9.00
2945628, 17.00
2948128, 22.00
2950628, 25.00
2953128, 28.00
2955628, 30.00
2958132, 31.00
2960632, 33.00
2963132, 33.00
2965632, 33.00
2968132, 34.00
2970632, 34.00
2973136, 34.00
2975640, 26.00
2978140, 19.00
2980644, 16.00
2983144, 13.00
2985644, 12.00
2988144, 10.00
2990644, 10.00
2993144, 9.00
2995644, 8.00
2998144, 7.00
3000644, 6.00
3003144, 7.00
3005644, 6.00
3008144, 6.00
3010648, 7.00
3013148, 6.00
3015648, 7.00
3018152, 6.00
3020656, 5.00
3023156, 6.00
3025660, 6.00
3028164, 6.00
3030664, 6.00
3033164, 6.00
3035664, 6.00
3038164, 6.00
3040664, 6.00
3043164, 6.00
3045664, 7.00
3048164, 6.00
3050664, 6.00
3053164, 6.00
3055668, 7.00
3058168, 7.00
3060672, 5.00
3063176, 6.00
3065680, 5.00
3068180, 6.00
3070680, 6.00
3073180, 8.00
3075680, 17.00
3078180, 23.00
3080684, 27.00
3083184, 29.00
3085688, 30.00
3088188, 31.00
3090688, 32.00
3093188, 32.00
3095688, 33.00
3098188, 34.00
3100688, 33.00
3103188, 33.00
3105688, 35.00
3108192, 35.00
3110692, 35.00
3113192, 35.00
3115692, 35.00
3118192, 35.00
3120692, 35.00
3123192, 33.00
3125692, 18.00
3128192, 10.00
3130692, 6.00
3133192, 2.00
3135692, 0.00
3138192, 0.00
3140692, 0.00
3143192, 0.00
3145696, 0.00
3148196, 0.00
3150696, 0.00
3153200, 0.00
3155700, 0.00
3158200, 2.00
3160704, 13.00
3163204, 19.00
3165704, 23.00
3168204, 27.00
3170704, 29.00
3173204, 30.00
3175704, 31.00
