time, light_amp
2943.0449735, 5
2943.0481716, 6
2943.0485281, 6
2943.0489339, 6
2943.049354, 7
2943.0497909, 7
2943.0504691, 7
2943.0524166, 7
2943.0527705, 6
2943.053088, 6
2943.0533966, 5
2943.0537644, 6
2943.0540604, 6
2943.0546535, 5
2943.0564089, 6
2943.0567544, 6
2943.0571213, 7
2943.0574211, 6
2943.0579263, 6
2943.0582257, 6
2943.060501, 6
2943.0608533, 7
2943.0611597, 5
2943.0614592, 6
2943.0617594, 5
2943.062069, 5
2943.0645988, 6
2943.0650083, 5
2943.0654499, 7
2943.0658738, 5
2943.0666269, 5
2943.067402, 6
2943.067786, 6
2943.0687126, 5
2943.0690457, 6
2943.0776215, 6
2943.07801, 6
2943.0783969, 6
2943.0787915, 6
2943.0791533, 7
2943.0795545, 6
2943.0799842, 6
2943.0803517, 7
2943.0807135, 5
2943.0811699, 6
2943.0816117, 6
2943.0821414, 6
2943.0825381, 5
2943.0830221, 6
2943.0835078, 6
2943.0841376, 6
2943.0845196, 7
2943.0848849, 5
2943.0853054, 6
2943.0857071, 5
2943.0861064, 5
2943.0863994, 6
2943.0869302, 7
2943.087434, 6
2943.0879293, 6
2943.0883076, 5
2943.0888993, 6
2943.0895151, 6
2943.0900653, 6
2943.0904349, 6
2943.0909152, 7
2943.0914088, 5
2943.0919155, 6
2943.0923401, 6
2943.0926488, 6
2943.0930251, 6
2943.0933692, 5
2943.0937085, 7
2943.0940915, 7
2943.0945696, 5
2943.0949037, 6
2943.0952236, 6
2943.0955214, 6
2943.0973311, 6
2943.0976698, 6
2943.0979885, 6
2943.0982872, 6
2943.0987052, 7
2943.0990657, 6
2943.1014636, 5
2943.1019131, 6
2943.1022072, 5
2943.1025289, 7
2943.102874, 7
2943.1032464, 7
2943.1035725, 5
2943.1055703, 6
2943.1059963, 6
2943.1063088, 6
2943.1066914, 6
2943.10705, 5
2943.1074218, 7
2943.1096647, 6
2943.1099698, 6
2943.1102426, 7
2943.1106639, 7
2943.1109195, 6
2943.1113691, 6
2943.1117308, 6
2943.1137697, 6
2943.1142188, 6
2943.1145156, 7
2943.1148797, 5
2943.1152935, 5
2943.1156919, 7
2943.1178291, 6
2943.1181864, 5
2943.1185325, 5
2943.1189437, 5
2943.1194446, 5
2943.1198046, 6
2943.1219001, 7
2943.1222266, 6
2943.1225526, 7
2943.1229998, 5
2943.1234565, 6
2943.1237341, 6
2943.1240987, 5
2943.1260612, 7
2943.126454, 6
2943.1268977, 7
2943.1272719, 7
2943.1276113, 6
2943.128019, 5
2943.130098, 7
2943.1305238, 5
2943.1308973, 5
2943.1312292, 6
2943.1316599, 5
2943.1320988, 6
2943.1325592, 6
2943.1342813, 5
2943.1346476, 6
2943.1349466, 5
2943.1352875, 6
2943.1358065, 6
2943.1361302, 7
2943.1384212, 5
2943.1388239, 6
2943.1391886, 6
2943.1395511, 5
2943.1399849, 5
2943.1402938, 7
2943.1406206, 6
2943.1424473, 6
2943.1428766, 6
2943.1432553, 6
2943.143657, 6
2943.1439829, 6
2943.1442958, 6
2943.1465414, 6
2943.1468744, 5
2943.1471521, 6
2943.1474294, 6
2943.1478846, 5
2943.1482169, 6
2943.1506897, 7
2943.1511059, 6
2943.1514693, 6
2943.1519631, 6
2943.1523624, 6
2943.152666, 7
2943.1529955, 5
2943.1546739, 7
2943.1549969, 6
2943.1555382, 5
2943.155931, 7
2943.1563745, 5
2943.1566937, 6
2943.1587704, 6
2943.1590754, 7
2943.1594591, 6
2943.1598611, 8
2943.1602158, 5
2943.1606912, 7
2943.1611556, 6
2943.162871, 5
2943.1632109, 6
2943.1636658, 6
2943.1640283, 6
2943.1644262, 5
2943.1648175, 7
2943.167006, 7
2943.1674331, 6
2943.1677391, 6
2943.1680502, 6
2943.1684065, 6
2943.1687162, 6
2943.169008, 6
2943.1710465, 5
2943.171366, 6
2943.1717984, 7
2943.1723614, 6
2943.1727022, 6
2943.1730675, 7
2943.1751404, 7
2943.1754477, 5
2943.175792, 6
2943.176379, 6
2943.1767698, 5
2943.1771569, 6
2943.1792647, 6
2943.1795875, 6
2943.179953, 6
2943.1805242, 6
2943.1808497, 7
2943.1813765, 6
2943.1817579, 6
2943.1834464, 6
2943.1839119, 7
2943.1842886, 6
2943.1847784, 6
2943.1851063, 5
2943.1855886, 7
2943.1874114, 7
2943.1877842, 6
2943.1881099, 6
2943.1884109, 6
2943.1888165, 6
2943.1891843, 5
2943.1895498, 6
2943.1915075, 6
2943.1918435, 7
2943.1921702, 5
2943.1924846, 6
2943.192793, 6
2943.1930864, 7
2943.1956098, 5
2943.1959316, 6
2943.1962325, 7
2943.1965953, 7
2943.1969274, 5
2943.1972107, 5
2943.1974859, 6
2943.1998229, 6
2943.2002798, 6
2943.2006511, 5
2943.2011911, 6
2943.2015107, 6
2943.2018082, 5
2943.2037845, 6
2943.2041605, 6
2943.2045822, 5
2943.20488, 5
2943.205298, 5
2943.2056259, 6
2943.2078817, 6
2943.2082708, 7
2943.2086577, 6
2943.2090462, 6
2943.2093318, 5
2943.2096034, 6
2943.2098769, 6
2943.2119746, 5
2943.2122586, 7
2943.2127042, 5
2943.2131142, 5
2943.2135045, 6
2943.2138754, 7
2943.2162679, 7
2943.2169299, 6
2943.2172529, 5
2943.2175418, 5
2943.2178491, 6
2943.2181512, 6
2943.2184962, 5
2943.2201774, 5
2943.2204996, 5
2943.2207903, 6
2943.2211504, 6
2943.2215416, 6
2943.2219408, 6
2943.224316, 6
2943.2246244, 6
2943.2249031, 7
2943.2251714, 5
2943.2255724, 5
2943.2259252, 7
2943.2283641, 7
2943.2286646, 6
2943.2289673, 6
2943.2293073, 6
2943.2305526, 5
2943.2309643, 5
2943.2312495, 6
2943.2325656, 7
2943.2332077, 6
2943.233594, 7
2943.2339033, 5
2943.2342045, 6
2943.2345017, 6
2943.2366403, 6
2943.2370689, 6
2943.237382, 6
2943.2377141, 7
2943.2380998, 5
2943.2384538, 5
2943.2389414, 5
2943.2407034, 6
2943.241027, 6
2943.2415993, 6
2943.2421127, 5
2943.242404, 7
2943.2428112, 6
2943.2447984, 6
2943.2451288, 6
2943.245552, 6
2943.2459529, 6
2943.2463202, 6
2943.2466541, 6
2943.2469792, 5
2943.2489895, 7
2943.2494719, 7
2943.2499297, 6
2943.2504037, 6
2943.2509078, 6
2943.251252, 6
2943.2529826, 6
2943.2533137, 7
2943.2536488, 5
2943.2539616, 5
2943.2543449, 6
2943.254664, 6
2943.2570919, 6
2943.2574524, 6
2943.2578192, 6
2943.2582866, 6
2943.2587265, 6
