time, light_amp
3828.2260178, 3
3828.2263092, 4
3828.2265906, 5
3828.2269216, 4
3828.2272162, 3
3828.2276303, 5
3828.2280129, 5
3828.2283223, 4
3828.2286802, 4
3828.2292223, 3
3828.2295752, 5
3828.22988, 4
3828.230245, 5
3828.2306139, 5
3828.2309957, 4
3828.2313225, 4
3828.2316337, 5
3828.2319394, 5
3828.2322678, 5
3828.2325776, 4
3828.2328886, 4
3828.2333762, 4
3828.2336563, 5
3828.2339537, 5
3828.2342534, 4
3828.2345496, 4
3828.2349058, 4
3828.2352532, 5
3828.2355376, 5
3828.2358791, 4
3828.2362104, 5
3828.2365828, 4
3828.23693, 5
3828.2372313, 3
3828.2375619, 4
3828.2454246, 3
3828.2457345, 5
3828.2460372, 4
3828.2463494, 4
3828.2466429, 4
3828.2469391, 4
3828.2472297, 3
3828.24752, 4
3828.2478097, 4
3828.2481152, 3
3828.2484063, 3
3828.2487777, 4
3828.2491026, 5
3828.2494397, 5
3828.2497633, 4
3828.2500957, 3
3828.2503872, 3
3828.2506823, 4
3828.2509799, 4
3828.2512896, 4
3828.2515816, 3
3828.2518648, 4
3828.2521713, 5
3828.2524643, 5
3828.2527901, 5
3828.25312, 4
3828.3593829, 0
3828.4711487, 0
3828.578823, 0
3828.6905267, 0
3828.8021822, 0
3828.9126946, 0
3829.0149426, 0
3829.1242676, 0
3829.2336178, 0
3829.343766, 0
3829.4553362, 0
3829.5670437, 0
3829.678748, 0
3829.7884801, 0
3829.8113657, 3
3829.8117726, 5
3829.8153813, 5
3829.8158331, 4
3829.8163303, 4
3829.8168753, 3
3829.8173059, 4
3829.8177456, 3
3829.8181272, 4
3829.8194431, 4
3829.8198882, 5
3829.8203611, 5
3829.8210281, 4
3829.821447, 5
3829.8218433, 5
3829.8235223, 5
3829.8238532, 5
3829.8241533, 4
3829.8245967, 5
3829.8249703, 4
3829.8253548, 5
3829.8277117, 3
3829.8280776, 4
3829.8283779, 4
3829.8288098, 4
3829.829343, 4
3829.8296583, 4
3829.8299615, 4
3829.8317635, 4
3829.8320828, 4
3829.8325719, 3
3829.8333049, 4
3829.8339847, 4
3829.8343143, 3
3829.835887, 4
3829.8362095, 5
3829.8366837, 4
3829.837005, 4
3829.8373307, 4
3829.8376294, 5
3829.8380259, 4
3829.8399535, 5
3829.840273, 3
3829.840589, 4
3829.8410924, 4
3829.8414531, 3
3829.841738, 4
3829.8440566, 5
3829.8443752, 4
3829.8448852, 5
3829.8452763, 4
3829.8457231, 4
3829.8460276, 5
3829.8463907, 4
3829.8481331, 5
3829.8484704, 4
3829.8488721, 4
3829.8493054, 4
3829.849774, 3
3829.8502684, 4
3829.8522001, 4
3829.8525726, 4
3829.8529394, 4
3829.8533141, 3
3829.85365, 5
3829.8539941, 4
3829.8562906, 4
3829.8566032, 3
3829.8569117, 4
3829.8573464, 4
3829.8577555, 3
3829.8581887, 4
3829.8586145, 4
3829.8604725, 4
3829.8608931, 5
3829.8612343, 4
3829.8615501, 5
3829.8618909, 4
3829.8621889, 4
3829.8644773, 3
3829.8647577, 4
3829.8650977, 4
3829.8655989, 4
3829.8661588, 4
3829.8666854, 5
3829.8671184, 5
3829.8686774, 4
3829.869023, 4
3829.8693977, 5
3829.8697862, 4
3829.8701315, 5
3829.8705336, 5
3829.8726645, 5
3829.8729741, 5
3829.873311, 4
3829.87365, 4
3829.8740005, 5
3829.8743178, 4
3829.8746086, 5
3829.8768135, 4
3829.8771126, 5
3829.87759, 4
3829.8778834, 5
3829.8781557, 4
3829.8784273, 4
3829.8808359, 4
3829.8811406, 4
3829.8814735, 3
3829.8818348, 4
3829.8822231, 5
3829.882725, 4
3829.8849767, 4
3829.885379, 5
3829.8856805, 4
3829.8859755, 5
3829.8862668, 4
3829.886556, 4
3829.8868554, 4
3829.8890478, 4
3829.8893457, 4
3829.8897124, 5
3829.8900583, 5
3829.8904125, 4
3829.8908037, 4
3829.8931523, 4
3829.8934581, 5
3829.893883, 3
3829.8942919, 4
3829.8946481, 4
3829.895081, 5
3829.8953484, 4
3829.8972342, 4
3829.8975434, 4
3829.8979049, 4
3829.898274, 4
3829.8986293, 4
3829.8990297, 4
3829.901423, 4
3829.9017799, 3
3829.9021259, 5
3829.9024655, 4
3829.9028735, 4
3829.9034103, 4
3829.9037679, 4
3829.9054512, 4
3829.9058088, 4
3829.9061083, 4
3829.9064822, 5
3829.9067492, 5
3829.9070555, 4
3829.9094849, 4
3829.9097948, 5
3829.9100879, 3
3829.9104683, 4
3829.9108947, 5
3829.9111857, 3
3829.913623, 4
3829.9139302, 3
3829.9142961, 3
3829.9147688, 4
3829.9151418, 5
3829.9154806, 4
3829.9158777, 4
3829.9178048, 4
3829.9181843, 4
3829.9185831, 4
3829.919042, 5
3829.9193278, 5
3829.9196375, 4
3829.9218528, 4
3829.9221498, 3
3829.922543, 4
3829.9228363, 4
3829.9231266, 4
3829.9235443, 3
3829.9238266, 4
3829.9259018, 5
3829.9262077, 4
3829.9265893, 5
3829.9270059, 4
3829.9273113, 4
3829.9276797, 4
3829.930004, 4
3829.9303138, 4
3829.9306474, 5
3829.9309423, 5
3829.9312323, 3
3829.9315262, 3
3829.9342373, 4
3829.9346626, 4
3829.9350695, 4
3829.9354263, 4
3829.9357301, 4
3829.9360749, 4
3829.9364197, 4
3829.9382124, 6
3829.9385192, 3
3829.9389912, 5
3829.9392991, 4
3829.9395965, 4
3829.9400357, 4
3829.9423008, 4
3829.9426031, 4
3829.9429262, 5
3829.9432714, 5
3829.9436293, 4
3829.9440093, 4
3829.9443611, 4
3829.9463761, 4
3829.9466646, 4
3829.947045, 5
3829.9473761, 4
3829.9477865, 4
3829.9481968, 4
3829.9505812, 5
3829.9510185, 4
3829.951407, 4
3829.9518035, 5
3829.9521589, 4
3829.9525097, 5
3829.9528322, 3
3829.9545757, 4
3829.954952, 4
3829.9552423, 4
3829.9555743, 4
3829.9558998, 5
3829.9562141, 5
3829.9586645, 3
3829.958991, 5
3829.9593583, 4
3829.9597088, 4
3829.960008, 5
3829.9603296, 4
3829.962811, 3
3829.963114, 5
3829.9634248, 4
3829.9637767, 5
3829.9640692, 5
3829.9644477, 5
3829.9647669, 4
3829.9668986, 3
3829.9672546, 5
3829.9675462, 5
3829.9678961, 4
3829.968255, 4
3829.9686343, 5
3829.9709388, 4
3829.9712523, 5
3829.9715811, 5
3829.9720241, 5
3829.9724286, 4
3829.9727405, 4
3829.9730303, 5
3829.9750403, 4
3829.9753673, 5
3829.9756938, 5
3829.9759876, 4
3829.9762794, 5
3829.9765776, 4
3829.9791116, 5
3829.979411, 4
3829.9797657, 5
3829.9800391, 5
3829.9803082, 5
3829.9805762, 3
3829.980918, 5
3829.9833173, 4
3829.9837253, 4
3829.9840688, 4
3829.9843952, 3
3829.9848114, 4
3829.9852083, 5
3829.9873487, 3
3829.9876975, 5
3829.9880462, 4
3829.9883393, 5
3829.9886653, 5
3829.9890141, 4
3829.9914498, 5
3829.9917416, 5
3829.9920877, 4
3829.99247, 4
3829.992829, 5
3829.993273, 4
3829.9936407, 3
3829.9956382, 5
3829.9960611, 5
3829.9966872, 4
3829.9972715, 4
3829.9977392, 3
3829.9985573, 4
3829.9998003, 4
3830.0003227, 4
3830.0007341, 4
3830.0012711, 4
3830.0019157, 5
3830.0028996, 4
3830.0033069, 4
3830.0037152, 5
3830.0040035, 3
3830.0042967, 4
3830.0046091, 5
3830.0048397, 4
3830.0051331, 4
3830.0078248, 4
3830.0082198, 3
3830.0086256, 3
3830.0090126, 4
3830.0094021, 4
3830.0097957, 4
3830.0100535, 4
3830.0119882, 5
3830.012344, 4
3830.0126628, 3
3830.0130039, 4
3830.013355, 3
3830.0136761, 5
3830.0161954, 4
3830.0165511, 4
3830.0168562, 4
3830.0171122, 4
3830.0174491, 5
3830.017767, 5
3830.0201579, 4
3830.0205768, 4
3830.0209061, 3
3830.0213341, 4
3830.0216335, 4
3830.0219183, 3
3830.0222032, 3
3830.0241991, 4
3830.0245083, 5
3830.0248492, 5
3830.025149, 4
3830.0254846, 5
3830.025945, 4
3830.0283208, 5
3830.0286525, 5
3830.0289631, 4
3830.0293052, 4
3830.0296541, 5
3830.0300092, 3
3830.030393, 5
3830.0325737, 5
3830.0329347, 4
3830.0332941, 4
3830.0336953, 5
3830.0340495, 4
3830.0343948, 4
3830.0365166, 5
3830.0369709, 4
3830.0374815, 5
3830.0378575, 4
3830.0382503, 3
3830.0385444, 4
3830.0388181, 4
3830.0406089, 4
3830.0409128, 4
3830.0413842, 3
3830.0417613, 3
3830.0420748, 4
3830.0423767, 4
3830.0447153, 5
3830.0450344, 4
3830.0455126, 5
3830.0458195, 5
3830.0461615, 4
3830.0465295, 5
3830.0488456, 4
3830.0494032, 4
3830.0498112, 4
3830.0501837, 5
3830.0505774, 4
3830.0508738, 5
3830.0511904, 4
3830.0528384, 4
3830.0531525, 4
3830.0535051, 5
3830.0538504, 3
3830.054205, 5
3830.0545774, 5
3830.0569596, 5
3830.0573037, 5
3830.0576248, 4
3830.0579235, 4
3830.0582452, 4
3830.0585394, 4
3830.0588183, 5
3830.0610377, 4
3830.0613381, 5
3830.0616836, 4
3830.0620549, 5
3830.0623506, 3
3830.0626409, 4
3830.065171, 4
3830.0655765, 4
3830.0659124, 5
3830.0662491, 4
3830.0666795, 4
3830.0669552, 4
3830.0692762, 5
3830.0695742, 4
3830.0699197, 5
3830.0702243, 5
3830.0704932, 4
3830.070875, 4
3830.0712292, 4
3830.0733516, 4
3830.0736656, 4
3830.0739576, 5
3830.0743662, 4
3830.0746864, 4
3830.0750604, 5
3830.0774402, 5
3830.0777359, 4
3830.0780873, 4
3830.078552, 4
3830.0788661, 4
3830.0791838, 5
3830.0794782, 4
3830.0815567, 4
3830.0819228, 3
3830.0822919, 5
3830.0826982, 3
3830.0833138, 3
3830.0837346, 4
3830.0856478, 5
3830.0859523, 4
3830.0862916, 4
3830.0866629, 3
3830.0869735, 4
3830.0872949, 5
3830.0877534, 5
3830.0898343, 4
3830.0902371, 4
3830.0906038, 4
3830.0910288, 4
3830.0913883, 5
3830.0918039, 3
3830.093859, 4
3830.0941466, 5
3830.0945204, 5
3830.0948001, 5
3830.0951473, 3
3830.0954444, 4
3830.0979496, 3
3830.0982857, 4
3830.0987152, 5
3830.0991173, 4
3830.0994897, 4
3830.0998738, 4
3830.1001738, 5
3830.1019844, 5
3830.1022728, 4
3830.1025673, 4
3830.1029925, 4
3830.1032897, 4
3830.1035788, 4
3830.1060794, 5
3830.1063764, 4
3830.1067446, 4
3830.10713, 5
3830.10742, 5
3830.1078692, 4
3830.108297, 4
3830.1101808, 5
3830.1104798, 5
3830.1108219, 5
3830.1111121, 5
3830.1113878, 4
3830.1116831, 4
3830.1143298, 3
3830.1146064, 5
3830.1149506, 5
3830.1153262, 4
3830.1157104, 4
3830.1161927, 5
3830.1166327, 4
3830.1186088, 5
3830.1190311, 5
3830.1193523, 4
3830.1198409, 4
3830.1201801, 4
3830.1204793, 5
3830.1225298, 5
3830.1228652, 4
3830.1231745, 3
3830.1235987, 4
3830.1241638, 4
3830.1245498, 4
3830.1266309, 4
3830.1269511, 4
3830.1274551, 4
3830.1278319, 3
3830.128201, 4
3830.12874, 4
3830.1291076, 4
3830.1307496, 4
3830.131051, 3
3830.1314215, 4
3830.1320055, 4
3830.1324347, 5
3830.1327632, 3
3830.134954, 5
3830.1354182, 5
3830.1358074, 5
3830.1361574, 3
3830.1365297, 5
3830.1369037, 4
3830.1371911, 4
3830.1389872, 5
3830.1393535, 4
3830.139709, 5
3830.1401073, 4
3830.140481, 4
3830.1408642, 4
3830.1430507, 4
3830.1434205, 4
3830.1439138, 4
3830.1442499, 4
3830.1446182, 4
3830.1449839, 4
3830.1453857, 5
3830.1471394, 5
3830.1474657, 5
3830.1477683, 5
3830.1481455, 4
3830.1485032, 3
3830.1488261, 4
3830.1512688, 3
3830.1516641, 4
3830.1519867, 3
3830.1522964, 4
3830.1527857, 4
3830.1530828, 4
3830.1552387, 4
3830.1555403, 3
3830.1559113, 4
3830.1563652, 4
3830.1566636, 4
3830.1569531, 4
3830.157273, 4
3830.1593326, 4
3830.1596333, 3
3830.1599622, 5
3830.1602483, 4
3830.160582, 5
3830.1608687, 5
