time, light_amp
1.50560147740900e+05, 11
1.50560147802700e+05, 11
1.50560147828100e+05, 11
1.50560147846300e+05, 10
1.50560147864700e+05, 10
1.50560147883700e+05, 10
1.50560147900600e+05, 10
1.50560147918200e+05, 11
1.50560147935600e+05, 10
1.50560147953400e+05, 10
1.50560147971300e+05, 11
1.50560147988300e+05, 11
1.50560148004800e+05, 11
1.50560148032700e+05, 11
1.50560148050800e+05, 11
1.50560148068200e+05, 10
1.50560148085200e+05, 11
1.50560148102600e+05, 11
1.50560148119900e+05, 11
1.50560148136900e+05, 10
1.50560148154900e+05, 11
1.50560148171900e+05, 10
1.50560148189400e+05, 11
1.50560148208200e+05, 10
1.50560148226800e+05, 11
1.50560148245000e+05, 11
1.50560148263200e+05, 10
1.50560148280600e+05, 11
1.50560148298300e+05, 11
1.50560148338000e+05, 11
1.50560148355000e+05, 10
1.50560148371700e+05, 10
1.50560148388000e+05, 10
1.50560148405300e+05, 11
1.50560148421900e+05, 11
1.50560148439000e+05, 11
1.50560148455400e+05, 10
1.50560148472200e+05, 11
1.50560148488500e+05, 11
1.50560148505000e+05, 10
1.50560148521600e+05, 11
1.50560148538500e+05, 11
1.50560148554800e+05, 11
1.50560148571100e+05, 10
1.50560148587500e+05, 11
1.50560148603900e+05, 10
1.50560148628100e+05, 11
1.50560148644500e+05, 11
1.50560148660700e+05, 11
1.50560148676600e+05, 11
1.50560148692900e+05, 11
1.50560148708700e+05, 11
1.50560148724600e+05, 10
1.50560148740800e+05, 11
1.50560148756900e+05, 10
1.50560148772800e+05, 11
1.50560148788700e+05, 11
1.50560148804700e+05, 11
1.50560148820600e+05, 10
1.50560148837100e+05, 10
1.50560148853300e+05, 10
1.50560148869700e+05, 11
1.50560148892400e+05, 10
1.50560148909300e+05, 11
1.50560148925900e+05, 11
1.50560148943500e+05, 10
1.50560148959800e+05, 10
1.50560148976700e+05, 11
1.50560148992800e+05, 10
1.50560149009200e+05, 11
1.50560149025600e+05, 11
1.50560149041900e+05, 10
1.50560149058500e+05, 11
1.50560149075300e+05, 10
1.50560149091700e+05, 11
